k,t,sz_exact,S_exact,sz_hw_mean,sz_hw_std,S_hw_mean,S_hw_std,sz_p1_exact,sz_p1_hw
0,0.00,1.000000,0.000000,1.001793,0.001985,0.000000,0.002220,1.000000,1.002780
1,0.20,0.978499,0.006501,0.892845,0.005550,0.141172,0.011194,0.980067,0.976586
2,0.40,0.915179,0.021538,0.848351,0.005651,0.159427,0.010212,0.921061,0.906406
3,0.60,0.813508,0.042526,0.701188,0.010381,0.219971,0.011627,0.825336,0.828319
4,0.80,0.679023,0.068031,0.533267,0.003987,0.263227,0.010972,0.696707,0.664237
5,1.00,0.518977,0.097005,0.328267,0.003759,0.309086,0.005471,0.540302,0.512510
6,1.20,0.341884,0.128610,0.129031,0.009110,0.322641,0.011234,0.362358,0.345462
7,1.40,0.156986,0.162136,-0.062453,0.012827,0.337213,0.009694,0.169967,0.163094
8,1.60,-0.026310,0.196970,-0.273387,0.027465,0.360980,0.018661,-0.029200,-0.025700
9,1.80,-0.199007,0.232567,-0.409508,0.016462,0.394790,0.009965,-0.227202,-0.225366
10,2.00,-0.353040,0.268448,-0.497839,0.010184,0.441747,0.006944,-0.416147,-0.437882
11,2.20,-0.481733,0.304183,-0.596712,0.002018,0.447289,0.002993,-0.588501,-0.586149
12,2.40,-0.580152,0.339390,-0.611546,0.015638,0.471431,0.012757,-0.737394,-0.741336
13,2.60,-0.645332,0.373733,-0.594238,0.012182,0.491907,0.008603,-0.856889,-0.874282
14,2.80,-0.676366,0.406918,-0.511185,0.008790,0.519663,0.005532,-0.942222,-0.937542
15,3.00,-0.674362,0.438691,-0.412308,0.011817,0.530240,0.007001,-0.989992,-0.980540
16,3.20,-0.642261,0.468838,-0.281136,0.006521,0.542881,0.003583,-0.998295,-0.993884
17,3.40,-0.584545,0.497184,-0.138590,0.017099,0.560155,0.008138,-0.966798,-0.960277
18,3.60,-0.506858,0.523590,-0.016312,0.008921,0.568140,0.002767,-0.896758,-0.898993
19,3.80,-0.415564,0.547955,0.138426,0.005970,0.562535,0.002415,-0.790968,-0.793723
20,4.00,-0.317279,0.570214,0.236147,0.007223,0.582629,0.004951,-0.653644,-0.634089
