g_BE,max_detection_signal,mean_detection_signal,max_mutual_info,S_B_final
0.0000,0.009466,0.003556,0.134880,0.134644
0.0100,0.009466,0.003556,0.115868,0.165983
0.0200,0.009466,0.003556,0.100544,0.245142
0.0300,0.009466,0.003556,0.119411,0.345535
0.0400,0.009466,0.003556,0.149592,0.446004
0.0500,0.009466,0.003556,0.183721,0.533061
0.0600,0.009466,0.003556,0.219230,0.599964
0.0700,0.009466,0.003556,0.254274,0.645505
0.0800,0.009466,0.003556,0.288919,0.672506
0.0900,0.009466,0.003556,0.330984,0.685994
0.1000,0.009466,0.003556,0.371681,0.691354
