k,bx_A,by_A,bz_A,radius_A,bx_B,by_B,bz_B,radius_B,S_eff_B
0,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000
1,0.000000,-0.198669,0.980067,1.000000,0.000000,-0.198034,0.976935,0.996804,0.011885
2,0.000000,-0.389418,0.921061,1.000000,0.000000,-0.384460,0.909334,0.987268,0.038537
3,0.000000,-0.564642,0.825336,1.000000,0.000000,-0.548575,0.801849,0.971543,0.074633
4,0.000000,-0.717356,0.696707,1.000000,0.000000,-0.681402,0.661788,0.949880,0.117127
5,0.000000,-0.841471,0.540302,1.000000,0.000000,-0.776357,0.498493,0.922619,0.163760
6,0.000000,-0.932039,0.362358,1.000000,0.000000,-0.829690,0.322566,0.890187,0.212716
7,0.000000,-0.985450,0.169967,1.000000,0.000000,-0.840675,0.144997,0.853088,0.262488
8,0.000000,-0.999574,-0.029200,1.000000,0.000000,-0.811541,-0.023707,0.811887,0.311824
9,0.000000,-0.973848,-0.227202,1.000000,0.000000,-0.747142,-0.174311,0.767206,0.359684
10,0.000000,-0.909297,-0.416147,1.000000,0.000000,-0.654424,-0.299502,0.719703,0.405233
11,0.000000,-0.808496,-0.588501,1.000000,0.000000,-0.541746,-0.394335,0.670066,0.447815
12,0.000000,-0.675463,-0.737394,1.000000,0.000000,-0.418106,-0.456440,0.618991,0.486953
13,0.000000,-0.515501,-0.856889,1.000000,0.000000,-0.292379,-0.486006,0.567175,0.522330
14,0.000000,-0.334988,-0.942222,1.000000,0.000000,-0.172618,-0.485523,0.515296,0.553776
15,0.000000,-0.141120,-0.989992,1.000000,0.000000,-0.065480,-0.459361,0.464005,0.581257
16,0.000000,0.058374,-0.998295,1.000000,0.000000,0.024162,-0.413203,0.413909,0.604856
17,0.000000,0.255541,-0.966798,1.000000,0.000000,0.093417,-0.353427,0.365565,0.624754
18,0.000000,0.442520,-0.896758,1.000000,0.000000,0.141370,-0.286482,0.319464,0.641213
19,0.000000,0.611858,-0.790968,1.000000,0.000000,0.168892,-0.218332,0.276032,0.654551
20,0.000000,0.756802,-0.653644,1.000000,0.000000,0.178313,-0.154007,0.235613,0.665128
21,0.000000,0.871576,-0.490261,1.000000,0.000000,0.172987,-0.097305,0.198476,0.673319
22,0.000000,0.951602,-0.307333,1.000000,0.000000,0.156829,-0.050650,0.164805,0.679505
23,0.000000,0.993691,-0.112153,1.000000,0.000000,0.133852,-0.015107,0.134702,0.684047
24,0.000000,0.996165,0.087499,1.000000,0.000000,0.107777,0.009467,0.108192,0.687283
25,0.000000,0.958924,0.283662,1.000000,0.000000,0.081721,0.024174,0.085221,0.689511
26,0.000000,0.883455,0.468517,1.000000,0.000000,0.058015,0.030767,0.065669,0.690989
27,0.000000,0.772764,0.634693,1.000000,0.000000,0.038137,0.031323,0.049351,0.691929
28,0.000000,0.631267,0.775566,1.000000,0.000000,0.022745,0.027945,0.036031,0.692498
29,0.000000,0.464602,0.885520,1.000000,0.000000,0.011815,0.022520,0.025431,0.692824
