k,sz_C1,Seff_C1,sz_C2,Seff_C2
0,1.000000,0.000000,1.000000,0.000000
1,0.976935,0.011885,0.930204,0.030843
2,0.909334,0.038537,0.735346,0.095234
3,0.801849,0.074633,0.455266,0.175845
4,0.661788,0.117127,0.144997,0.262488
5,0.498493,0.163760,-0.138794,0.347907
6,0.322566,0.212716,-0.350923,0.426929
7,0.144997,0.262488,-0.466822,0.496159
8,-0.023707,0.311824,-0.485523,0.553776
9,-0.174311,0.359684,-0.426274,0.599312
10,-0.299502,0.405233,-0.320461,0.633395
11,-0.394335,0.447815,-0.201721,0.657440
12,-0.456440,0.486953,-0.097305,0.673319
13,-0.486006,0.522330,-0.022940,0.683047
14,-0.485523,0.553776,0.017956,0.688506
15,-0.459361,0.581257,0.031388,0.691268
16,-0.413203,0.604856,0.027945,0.692498
17,-0.353427,0.624754,0.018031,0.692965
18,-0.286482,0.641213,0.008745,0.693109
19,-0.218332,0.654551,0.003019,0.693142
20,-0.154007,0.665128,0.000629,0.693147
21,-0.097305,0.673319,0.000050,0.693147
22,-0.050650,0.679505,0.000000,0.693147
23,-0.015107,0.684047,-0.000000,0.693147
24,0.009467,0.687283,-0.000073,0.693147
25,0.024174,0.689511,-0.000788,0.693147
26,0.030767,0.690989,-0.003507,0.693140
27,0.031323,0.691929,-0.009695,0.693100
28,0.027945,0.692498,-0.019289,0.692932
29,0.022520,0.692824,-0.028883,0.692402
