k,sz_n2,Seff_n2,fid_n2,sz_n4,Seff_n4,fid_n4,sz_n6,Seff_n6,fid_n6,sz_n8,Seff_n8,fid_n8
0,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000
1,0.978499,0.006501,0.999200,0.976935,0.011885,0.998402,0.975372,0.016844,0.997605,0.973813,0.021524,0.996809
2,0.915179,0.021538,0.996807,0.909334,0.038537,0.993634,0.903527,0.053777,0.990482,0.897757,0.067855,0.987349
3,0.813508,0.042526,0.992835,0.801849,0.074633,0.985772,0.790358,0.102635,0.978810,0.779031,0.127903,0.971948
4,0.679023,0.068031,0.987309,0.661788,0.117127,0.974940,0.644990,0.158665,0.962885,0.628619,0.195158,0.951136
5,0.518977,0.097005,0.980265,0.498493,0.163760,0.961309,0.478818,0.218346,0.943102,0.459919,0.264842,0.925613
6,0.341884,0.128610,0.971749,0.322566,0.212716,0.945094,0.304341,0.278904,0.919945,0.287145,0.333317,0.896217
7,0.156986,0.162136,0.961814,0.144997,0.262488,0.926544,0.133923,0.338139,0.893968,0.123695,0.397858,0.863879
8,-0.026310,0.196970,0.950524,-0.023707,0.311824,0.905944,-0.021361,0.394341,0.865775,-0.019247,0.456551,0.829580
9,-0.199007,0.232567,0.937951,-0.174311,0.359684,0.883603,-0.152679,0.446245,0.835999,-0.133732,0.508200,0.794302
10,-0.353040,0.268448,0.924177,-0.299502,0.405233,0.859852,-0.254084,0.492993,0.805281,-0.215553,0.552245,0.758987
11,-0.481733,0.304183,0.909288,-0.394335,0.447815,0.835033,-0.322793,0.534090,0.774250,-0.264230,0.588658,0.724494
12,-0.580152,0.339390,0.893380,-0.456440,0.486953,0.809496,-0.359109,0.569365,0.743499,-0.282533,0.617835,0.691575
13,-0.645332,0.373733,0.876555,-0.486006,0.522330,0.783587,-0.366016,0.598922,0.713573,-0.275650,0.640474,0.660844
14,-0.676366,0.406918,0.858921,-0.485523,0.553776,0.757648,-0.348529,0.623082,0.684950,-0.250188,0.657468,0.632765
15,-0.674362,0.438691,0.840589,-0.459361,0.581257,0.732002,-0.312907,0.642330,0.658035,-0.213146,0.669788,0.607650
16,-0.642261,0.468838,0.821679,-0.413203,0.604856,0.706955,-0.265837,0.657260,0.633146,-0.171029,0.678399,0.585660
17,-0.584545,0.497184,0.802310,-0.353427,0.624754,0.682782,-0.213689,0.668518,0.610514,-0.129200,0.684191,0.566819
18,-0.506858,0.523590,0.782606,-0.286482,0.641213,0.659732,-0.161923,0.676756,0.590283,-0.091521,0.687930,0.551029
19,-0.415564,0.547955,0.762694,-0.218332,0.654551,0.638016,-0.114709,0.682594,0.572512,-0.060267,0.690242,0.538097
20,-0.317279,0.570214,0.742700,-0.154007,0.665128,0.617807,-0.074755,0.686593,0.557183,-0.036286,0.691606,0.527757
21,-0.218414,0.590334,0.722753,-0.097305,0.673319,0.599238,-0.043350,0.689233,0.544211,-0.019313,0.692371,0.519696
22,-0.124765,0.608317,0.702981,-0.050650,0.679505,0.582402,-0.020562,0.690907,0.533452,-0.008347,0.692778,0.513580
23,-0.041162,0.624196,0.683509,-0.015107,0.684047,0.567351,-0.005545,0.691925,0.524719,-0.002035,0.692983,0.509072
24,0.028781,0.638031,0.664463,0.009467,0.687283,0.554096,0.003114,0.692514,0.517793,0.001024,0.693079,0.505853
25,0.082809,0.649910,0.645963,0.024174,0.689511,0.542611,0.007057,0.692838,0.512439,0.002060,0.693121,0.503631
26,0.120062,0.659944,0.628129,0.030767,0.690989,0.532834,0.007884,0.693006,0.508414,0.002020,0.693138,0.502156
27,0.140997,0.668265,0.611075,0.031323,0.691929,0.524675,0.006958,0.693087,0.505482,0.001546,0.693144,0.501218
28,0.147217,0.675022,0.594910,0.027945,0.692498,0.518016,0.005304,0.693124,0.503420,0.001007,0.693146,0.500649
29,0.141216,0.680377,0.579736,0.022520,0.692824,0.512716,0.003591,0.693139,0.502028,0.000573,0.693147,0.500323
